
Step nr. 1, h = 0.01
Step nr. 667, h = 0.00219948038631395

Step nr. 668, h = 0.00219936985761346

Step nr. 669, h = 0.00219926291503579

Step nr. 670, h = 0.00219915955552346

Step nr. 671, h = 0.00219905977612222

Step nr. 672, h = 0.00219896357398084

Step nr. 673, h = 0.00219887094635085

Step nr. 674, h = 0.00219878189058637

Step nr. 675, h = 0.00219869640414387

Step nr. 676, h = 0.00219861448458196

Step nr. 677, h = 0.00219853612956124

Step nr. 678, h = 0.00219846133684407

Step nr. 679, h = 0.00219839010429442

Step nr. 680, h = 0.00219832242987771

Step nr. 681, h = 0.00219825831166062

Step nr. 682, h = 0.00219819774781097

Step nr. 683, h = 0.00219814073659754

Step nr. 684, h = 0.00219808727638997

Step nr. 685, h = 0.00219803736565862

Step nr. 686, h = 0.00219799100297441

Step nr. 687, h = 0.0021979481870088

Step nr. 688, h = 0.00219790891653357

Step nr. 689, h = 0.0021978731904208

Step nr. 690, h = 0.00219784100764278

Step nr. 691, h = 0.00219781236727188

Step nr. 692, h = 0.00219778726848051

Step nr. 693, h = 0.00219776571054107

Step nr. 694, h = 0.00219774769282583

Step nr. 695, h = 0.00219773321480694

Step nr. 696, h = 0.00219772227605638

Step nr. 697, h = 0.00219771487624587

Step nr. 698, h = 0.00219771101514692

Step nr. 699, h = 0.00219771069263075

Step nr. 700, h = 0.0021977139086683

Step nr. 701, h = 0.00219772066333024

Step nr. 702, h = 0.00219773095678692

Step nr. 703, h = 0.00219774478930847

Step nr. 704, h = 0.00219776216126472

Step nr. 705, h = 0.00219778307312529

Step nr. 706, h = 0.0021978075254596

Step nr. 707, h = 0.00219783551893694

Step nr. 708, h = 0.00219786705432645

Step nr. 709, h = 0.00219790213249727

Step nr. 710, h = 0.00219794075441852

Step nr. 711, h = 0.00219798292115942

Step nr. 712, h = 0.00219802863388937

Step nr. 713, h = 0.00219807789387802

Step nr. 714, h = 0.00219813070249536

Step nr. 715, h = 0.00219818706121185

Step nr. 716, h = 0.00219824697159849

Step nr. 717, h = 0.002198310435327

Step nr. 718, h = 0.00219837745416988

Step nr. 719, h = 0.00219844803000059

Step nr. 720, h = 0.00219852216479368

Step nr. 721, h = 0.00219859986062493

Step nr. 722, h = 0.00219868111967151

Step nr. 723, h = 0.00219876594421215

Step nr. 724, h = 0.00219885433662734

Step nr. 725, h = 0.00219894629939945

Step nr. 726, h = 0.00219904183511299

Step nr. 727, h = 0.00219914094645474

Step nr. 728, h = 0.00219924363621402

Step nr. 729, h = 0.00219934990728285

Step nr. 730, h = 0.00219945976265622

Step nr. 731, h = 0.00219957320543229

Step nr. 732, h = 0.00219969023881263

Step nr. 733, h = 0.00219981086610245

Step nr. 734, h = 0.00219993509071092

Step nr. 735, h = 0.00220006291615136

Step nr. 736, h = 0.00220019434604155

Step nr. 737, h = 0.002200329384104

Step nr. 738, h = 0.00220046803416625

Step nr. 739, h = 0.00220061030016114

Step nr. 740, h = 0.00220075618612714

Step nr. 741, h = 0.00220090569620867

Step nr. 742, h = 0.00220105883465639

Step nr. 743, h = 0.00220121560582755

Step nr. 744, h = 0.00220137601418634

Step nr. 745, h = 0.00220154006430423

Step nr. 746, h = 0.00220170776086032

Step nr. 747, h = 0.00220187910864172

Step nr. 748, h = 0.00220205411254391

Step nr. 749, h = 0.00220223277757115

Step nr. 750, h = 0.00220241510883682

Step nr. 751, h = 0.00220260111156391

Step nr. 752, h = 0.00220279079108532

Step nr. 753, h = 0.00220298415284441

Step nr. 754, h = 0.00220318120239532

Step nr. 755, h = 0.00220338194540345

Step nr. 756, h = 0.00220358638764593

Step nr. 757, h = 0.00220379453501204

Step nr. 758, h = 0.00220400639350372

Step nr. 759, h = 0.00220422196923598

Step nr. 760, h = 0.00220444126843751

Step nr. 761, h = 0.00220466429745102

Step nr. 762, h = 0.00220489106273389

Step nr. 763, h = 0.00220512157085863

Step nr. 764, h = 0.0022053558285133

Step nr. 765, h = 0.00220559384250228

Step nr. 766, h = 0.00220583561974658

Step nr. 767, h = 0.0022060811672846

Step nr. 768, h = 0.00220633049227255

Step nr. 769, h = 0.00220658360198508

Step nr. 770, h = 0.00220684050381591

Step nr. 771, h = 0.00220710120527835

Step nr. 772, h = 0.00220736571400598

Step nr. 773, h = 0.00220763403775324

Step nr. 774, h = 0.00220790618439609

Step nr. 775, h = 0.00220818216193259

Step nr. 776, h = 0.00220846197848361

Step nr. 777, h = 0.00220874564229351

Step nr. 778, h = 0.00220903316173078

Step nr. 779, h = 0.00220932454528874

Step nr. 780, h = 0.00220961980158622

Step nr. 781, h = 0.00220991893936834

Step nr. 782, h = 0.00221022196750717

Step nr. 783, h = 0.00221052889500247

Step nr. 784, h = 0.00221083973098246

Step nr. 785, h = 0.00221115448470462

Step nr. 786, h = 0.00221147316555635

Step nr. 787, h = 0.00221179578305588

Step nr. 788, h = 0.00221212234685301

Step nr. 789, h = 0.00221245286672989

Step nr. 790, h = 0.00221278735260194

Step nr. 791, h = 0.00221312581451854

Step nr. 792, h = 0.00221346826266405

Step nr. 793, h = 0.00221381470735854

Step nr. 794, h = 0.00221416515905876

Step nr. 795, h = 0.00221451962835895

Step nr. 796, h = 0.00221487812599183

Step nr. 797, h = 0.00221524066282943

Step nr. 798, h = 0.00221560724988407

Step nr. 799, h = 0.00221597789830933

Step nr. 800, h = 0.00221635261940094

Step nr. 801, h = 0.00221673142459786

Step nr. 802, h = 0.00221711432548317

Step nr. 803, h = 0.00221750133378512

Step nr. 804, h = 0.00221789246137814

Step nr. 805, h = 0.00221828772028392

Step nr. 806, h = 0.00221868712267239

Step nr. 807, h = 0.00221909068086284

Step nr. 808, h = 0.00221949840732501

Step nr. 809, h = 0.00221991031468009

Step nr. 810, h = 0.00222032641570194

Step nr. 811, h = 0.00222074672331825

Step nr. 812, h = 0.00222117125061159

Step nr. 813, h = 0.0022216000108206

Step nr. 814, h = 0.00222203301734118

Step nr. 815, h = 0.00222247028372778

Step nr. 816, h = 0.00222291182369443

Step nr. 817, h = 0.0022233576511162

Step nr. 818, h = 0.00222380778003018

Step nr. 819, h = 0.00222426222463708

Step nr. 820, h = 0.00222472099930222

Step nr. 821, h = 0.00222518411855705

Step nr. 822, h = 0.00222565159710028

Step nr. 823, h = 0.00222612344979945

Step nr. 824, h = 0.00222659969169214

Step nr. 825, h = 0.00222708033798739

Step nr. 826, h = 0.00222756540406712

Step nr. 827, h = 0.00222805490548764

Step nr. 828, h = 0.00222854885798085

Step nr. 829, h = 0.00222904727745599

Step nr. 830, h = 0.00222955018000095

Step nr. 831, h = 0.00223005758188384

Step nr. 832, h = 0.00223056949955452

Step nr. 833, h = 0.00223108594964619

Step nr. 834, h = 0.00223160694897683

Step nr. 835, h = 0.00223213251455103

Step nr. 836, h = 0.00223266266356128

Step nr. 837, h = 0.00223319741339002

Step nr. 838, h = 0.00223373678161096

Step nr. 839, h = 0.00223428078599095

Step nr. 840, h = 0.0022348294444916

Step nr. 841, h = 0.00223538277527118

Step nr. 842, h = 0.00223594079668617

Step nr. 843, h = 0.00223650352729319

Step nr. 844, h = 0.00223707098585085

Step nr. 845, h = 0.00223764319132142

Step nr. 846, h = 0.00223822016287292

Step nr. 847, h = 0.00223880191988077

Step nr. 848, h = 0.00223938848192991

Step nr. 849, h = 0.00223997986881674

Step nr. 850, h = 0.0022405761005509

Step nr. 851, h = 0.00224117719735753

Step nr. 852, h = 0.00224178317967912

Step nr. 853, h = 0.00224239406817775

Step nr. 854, h = 0.00224300988373694

Step nr. 855, h = 0.00224363064746399

Step nr. 856, h = 0.00224425638069202

Step nr. 857, h = 0.00224488710498224

Step nr. 858, h = 0.00224552284212605

Step nr. 859, h = 0.00224616361414743

Step nr. 860, h = 0.00224680944330507

Step nr. 861, h = 0.00224746035209487

Step nr. 862, h = 0.00224811636325203

Step nr. 863, h = 0.00224877749975371

Step nr. 864, h = 0.00224944378482123

Step nr. 865, h = 0.0022501152419227

Step nr. 866, h = 0.00225079189477529

Step nr. 867, h = 0.00225147376734804

Step nr. 868, h = 0.00225216088386411

Step nr. 869, h = 0.00225285326880357

Step nr. 870, h = 0.00225355094690601

Step nr. 871, h = 0.00225425394317322

Step nr. 872, h = 0.00225496228287173

Step nr. 873, h = 0.00225567599153591

Step nr. 874, h = 0.00225639509497039

Step nr. 875, h = 0.00225711961925311

Step nr. 876, h = 0.00225784959073824

Step nr. 877, h = 0.00225858503605888

Step nr. 878, h = 0.00225932598213019

Step nr. 879, h = 0.00226007245615235

Step nr. 880, h = 0.00226082448561361

Step nr. 881, h = 0.00226158209829339

Step nr. 882, h = 0.00226234532226542

Step nr. 883, h = 0.00226311418590082

Step nr. 884, h = 0.00226388871787152

Step nr. 885, h = 0.00226466894715349

Step nr. 886, h = 0.00226545490302992

Step nr. 887, h = 0.00226624661509477

Step nr. 888, h = 0.00226704411325621

Step nr. 889, h = 0.00226784742773992

Step nr. 890, h = 0.00226865658909279

Step nr. 891, h = 0.00226947162818653

Step nr. 892, h = 0.00227029257622113

Step nr. 893, h = 0.00227111946472876

Step nr. 894, h = 0.00227195232557741

Step nr. 895, h = 0.00227279119097474

Step nr. 896, h = 0.00227363609347192

Step nr. 897, h = 0.00227448706596759

Step nr. 898, h = 0.00227534414171178

Step nr. 899, h = 0.00227620735431016

Step nr. 900, h = 0.00227707673772788

Step nr. 901, h = 0.00227795232629388

Step nr. 902, h = 0.00227883415470523

Step nr. 903, h = 0.00227972225803113

Step nr. 904, h = 0.00228061667171771

Step nr. 905, h = 0.00228151743159199

Step nr. 906, h = 0.00228242457386686

Step nr. 907, h = 0.00228333813514535

Step nr. 908, h = 0.00228425815242526

Step nr. 909, h = 0.00228518466310411

Step nr. 910, h = 0.00228611770498384

Step nr. 911, h = 0.00228705731627544

Step nr. 912, h = 0.00228800353560434

Step nr. 913, h = 0.00228895640201511

Step nr. 914, h = 0.00228991595497671

Step nr. 915, h = 0.00229088223438758

Step nr. 916, h = 0.00229185528058102

Step nr. 917, h = 0.00229283513433038

Step nr. 918, h = 0.0022938218368547

Step nr. 919, h = 0.00229481542982412

Step nr. 920, h = 0.00229581595536551

Step nr. 921, h = 0.0022968234560683

Step nr. 922, h = 0.00229783797498991

Step nr. 923, h = 0.00229885955566213

Step nr. 924, h = 0.00229988824209676

Step nr. 925, h = 0.00230092407879181

Step nr. 926, h = 0.00230196711073774

Step nr. 927, h = 0.00230301738342357

Step nr. 928, h = 0.0023040749428435

Step nr. 929, h = 0.00230513983550324

Step nr. 930, h = 0.00230621210842668

Step nr. 931, h = 0.00230729180916247

Step nr. 932, h = 0.00230837898579115

Step nr. 933, h = 0.0023094736869316

Step nr. 934, h = 0.0023105759617486

Step nr. 935, h = 0.00231168585995968

Step nr. 936, h = 0.00231280343184254

Step nr. 937, h = 0.00231392872824225

Step nr. 938, h = 0.00231506180057911

Step nr. 939, h = 0.00231620270085611

Step nr. 940, h = 0.00231735148166662

Step nr. 941, h = 0.00231850819620264

Step nr. 942, h = 0.00231967289826251

Step nr. 943, h = 0.00232084564225934

Step nr. 944, h = 0.0023220264832292

Step nr. 945, h = 0.00232321547683971

Step nr. 946, h = 0.00232441267939855

Step nr. 947, h = 0.00232561814786247

Step nr. 948, h = 0.00232683193984573

Step nr. 949, h = 0.0023280541136298

Step nr. 950, h = 0.00232928472817206

Step nr. 951, h = 0.00233052384311564

Step nr. 952, h = 0.00233177151879854

Step nr. 953, h = 0.00233302781626376

Step nr. 954, h = 0.00233429279726901

Step nr. 955, h = 0.00233556652429662

Step nr. 956, h = 0.00233684906056437

Step nr. 957, h = 0.00233814047003522

Step nr. 958, h = 0.00233944081742847

Step nr. 959, h = 0.0023407501682302

Step nr. 960, h = 0.00234206858870464

Step nr. 961, h = 0.0023433961459051

Step nr. 962, h = 0.00234473290768541

Step nr. 963, h = 0.00234607894271168

Step nr. 964, h = 0.00234743432047414

Step nr. 965, h = 0.00234879911129884

Step nr. 966, h = 0.00235017338636049

Step nr. 967, h = 0.00235155721769437

Step nr. 968, h = 0.00235295067820938

Step nr. 969, h = 0.00235435384170103

Step nr. 970, h = 0.00235576678286438

Step nr. 971, h = 0.00235718957730769

Step nr. 972, h = 0.00235862230156614

Step nr. 973, h = 0.00236006503311561

Step nr. 974, h = 0.00236151785038676

Step nr. 975, h = 0.00236298083278008

Step nr. 976, h = 0.00236445406067996

Step nr. 977, h = 0.00236593761547029

Step nr. 978, h = 0.00236743157954936

Step nr. 979, h = 0.00236893603634558

Step nr. 980, h = 0.0023704510703335

Step nr. 981, h = 0.00237197676704994

Step nr. 982, h = 0.00237351321311047

Step nr. 983, h = 0.00237506049622632

Step nr. 984, h = 0.00237661870522167

Step nr. 985, h = 0.0023781879300508

Step nr. 986, h = 0.00237976826181624

Step nr. 987, h = 0.00238135979278684

Step nr. 988, h = 0.00238296261641654

Step nr. 989, h = 0.0023845768273629

Step nr. 990, h = 0.00238620252150671

Step nr. 991, h = 0.00238783979597169

Step nr. 992, h = 0.0023894887491441

Step nr. 993, h = 0.00239114948069394

Step nr. 994, h = 0.00239282209159528

Step nr. 995, h = 0.00239450668414773

Step nr. 996, h = 0.00239620336199824

Step nr. 997, h = 0.00239791223016322

Step nr. 998, h = 0.0023996333950511

Step nr. 999, h = 0.00240136696448572

Step nr. 1000, h = 0.00240311304772949

Step nr. 1001, h = 0.0024048717555077

Step nr. 1002, h = 0.00240664320003308

Step nr. 1003, h = 0.00240842749503095

Step nr. 1004, h = 0.00241022475576425

Step nr. 1005, h = 0.00241203509906056

Step nr. 1006, h = 0.00241385864333796

Step nr. 1007, h = 0.00241569550863262

Step nr. 1008, h = 0.00241754581662685

Step nr. 1009, h = 0.00241940969067698

Step nr. 1010, h = 0.00242128725584275

Step nr. 1011, h = 0.0024231786389168

Step nr. 1012, h = 0.0024250839684548

Step nr. 1013, h = 0.00242700337480681

Step nr. 1014, h = 0.00242893699014833

Step nr. 1015, h = 0.00243088494851295

Step nr. 1016, h = 0.00243284738582509

Step nr. 1017, h = 0.00243482443993396

Step nr. 1018, h = 0.00243681625064782

Step nr. 1019, h = 0.00243882295976911

Step nr. 1020, h = 0.00244084471113066

Step nr. 1021, h = 0.0024428816506323

Step nr. 1022, h = 0.00244493392627859

Step nr. 1023, h = 0.00244700168821729

Step nr. 1024, h = 0.00244908508877844

Step nr. 1025, h = 0.00245118428251482

Step nr. 1026, h = 0.00245329942624306

Step nr. 1027, h = 0.00245543067908558

Step nr. 1028, h = 0.00245757820251374

Step nr. 1029, h = 0.00245974216039177

Step nr. 1030, h = 0.00246192271902175

Step nr. 1031, h = 0.00246412004718983

Step nr. 1032, h = 0.00246633431621343

Step nr. 1033, h = 0.00246856569998926

Step nr. 1034, h = 0.0024708143750429

Step nr. 1035, h = 0.00247308052057926

Step nr. 1036, h = 0.00247536431853439

Step nr. 1037, h = 0.00247766595362863

Step nr. 1038, h = 0.00247998561342035

Step nr. 1039, h = 0.0024823234883622

Step nr. 1040, h = 0.00248467977185734

Step nr. 1041, h = 0.00248705466031821

Step nr. 1042, h = 0.00248802158609729

Step nr. 1043, h = 0.00248772863501629

Step nr. 1044, h = 0.00248665316232908

Step nr. 1045, h = 0.00248509461830417

Step nr. 1046, h = 0.00248324061613242

Step nr. 1047, h = 0.00248120859157046

Step nr. 1048, h = 0.00247907199430334

Step nr. 1049, h = 0.00247687672415984

Step nr. 1050, h = 0.00247465143369661

Step nr. 1051, h = 0.00247241398143196

Step nr. 1052, h = 0.00247017547212448

Step nr. 1053, h = 0.00246794278560682

Step nr. 1054, h = 0.00246572015930325

Step nr. 1055, h = 0.00246351017843221

Step nr. 1056, h = 0.00246131439553598

Step nr. 1057, h = 0.00245913371807032

Step nr. 1058, h = 0.00245696865087279

Step nr. 1059, h = 0.00245481944783722

Step nr. 1060, h = 0.00245268620678339

Step nr. 1061, h = 0.00245056892879163

Step nr. 1062, h = 0.00244846755530379

Step nr. 1063, h = 0.00244638199131803

Step nr. 1064, h = 0.00244431211988249

Step nr. 1065, h = 0.00244225781114685

Step nr. 1066, h = 0.00244021892800947

Step nr. 1067, h = 0.00243819532963525

Step nr. 1068, h = 0.00243618687364207

Step nr. 1069, h = 0.00243419341745368

Step nr. 1070, h = 0.00243221481913265

Step nr. 1071, h = 0.0024302509378879

Step nr. 1072, h = 0.00242830163437848

Step nr. 1073, h = 0.00242636677089074

Step nr. 1074, h = 0.00242444621143691

Step nr. 1075, h = 0.00242253982180354

Step nr. 1076, h = 0.0024206474695703

Step nr. 1077, h = 0.00241876902410958

Step nr. 1078, h = 0.0024169043565744

Step nr. 1079, h = 0.00241505333987982

Step nr. 1080, h = 0.00241321584867987

Step nr. 1081, h = 0.00241139175934228

Step nr. 1082, h = 0.00240958094992203

Step nr. 1083, h = 0.00240778330013423

Step nr. 1084, h = 0.002405998691327

Step nr. 1085, h = 0.00240422700645434

Step nr. 1086, h = 0.00240246813004941

Step nr. 1087, h = 0.00240072194819832

Step nr. 1088, h = 0.00239898834851406

Step nr. 1089, h = 0.00239726722011118

Step nr. 1090, h = 0.00239555845358054

Step nr. 1091, h = 0.00239386194096517

Step nr. 1092, h = 0.00239217757573617

Step nr. 1093, h = 0.00239050525276902

Step nr. 1094, h = 0.00238884486832095

Step nr. 1095, h = 0.00238719632000778

Step nr. 1096, h = 0.00238555950678227

Step nr. 1097, h = 0.00238393432891233

Step nr. 1098, h = 0.00238232068795952

Step nr. 1099, h = 0.0023807184867584

Step nr. 1100, h = 0.00237912762939617

Step nr. 1101, h = 0.00237754802119265

Step nr. 1102, h = 0.00237597956868049

Step nr. 1103, h = 0.00237442217958601

Step nr. 1104, h = 0.00237287576281049

Step nr. 1105, h = 0.00237134022841143

Step nr. 1106, h = 0.00236981548758457

Step nr. 1107, h = 0.00236830145264601

Step nr. 1108, h = 0.00236679803701509

Step nr. 1109, h = 0.00236530515519672

Step nr. 1110, h = 0.00236382272276521

Step nr. 1111, h = 0.0023623506563473

Step nr. 1112, h = 0.0023608888736062

Step nr. 1113, h = 0.00235943729322608

Step nr. 1114, h = 0.00235799583489598

Step nr. 1115, h = 0.00235656441929503

Step nr. 1116, h = 0.0023551429680771

Step nr. 1117, h = 0.00235373140385654

Step nr. 1118, h = 0.00235232965019343

Step nr. 1119, h = 0.00235093763157953

Step nr. 1120, h = 0.00234955527342454

Step nr. 1121, h = 0.00234818250204237

Step nr. 1122, h = 0.00234681924463781

Step nr. 1123, h = 0.00234546542929343

Step nr. 1124, h = 0.00234412098495666

Step nr. 1125, h = 0.00234278584142705

Step nr. 1126, h = 0.00234145992934395

Step nr. 1127, h = 0.00234014318017448

Step nr. 1128, h = 0.00233883552620141

Step nr. 1129, h = 0.00233753690051121

Step nr. 1130, h = 0.00233624723698278

Step nr. 1131, h = 0.00233496647027598

Step nr. 1132, h = 0.00233369453582081

Step nr. 1133, h = 0.00233243136980584

Step nr. 1134, h = 0.00233117690916808

Step nr. 1135, h = 0.00232993109158205

Step nr. 1136, h = 0.00232869385544968

Step nr. 1137, h = 0.00232746513988982

Step nr. 1138, h = 0.00232624488472858

Step nr. 1139, h = 0.00232503303048909

Step nr. 1140, h = 0.00232382951838232

Step nr. 1141, h = 0.00232263429029716

Step nr. 1142, h = 0.00232144728879133

Step nr. 1143, h = 0.00232026845708216

Step nr. 1144, h = 0.00231909773903762

Step nr. 1145, h = 0.00231793507916731

Step nr. 1146, h = 0.00231678042261395

Step nr. 1147, h = 0.00231563371514473

Step nr. 1148, h = 0.00231449490314283

Step nr. 1149, h = 0.00231336393359933

Step nr. 1150, h = 0.00231224075410487

Step nr. 1151, h = 0.0023111253128419

Step nr. 1152, h = 0.00231001755857665

Step nr. 1153, h = 0.00230891744065146

Step nr. 1154, h = 0.00230782490897709

Step nr. 1155, h = 0.00230673991402553

Step nr. 1156, h = 0.00230566240682232

Step nr. 1157, h = 0.00230459233893955

Step nr. 1158, h = 0.00230352966248865

Step nr. 1159, h = 0.00230247433011348

Step nr. 1160, h = 0.00230142629498336

Step nr. 1161, h = 0.0023003855107863

Step nr. 1162, h = 0.00229935193172267

Step nr. 1163, h = 0.00229832551249836

Step nr. 1164, h = 0.00229730620831813

Step nr. 1165, h = 0.0022962939748798

Step nr. 1166, h = 0.00229528876836785

Step nr. 1167, h = 0.00229429054544693

Step nr. 1168, h = 0.00229329926325646

Step nr. 1169, h = 0.00229231487940416

Step nr. 1170, h = 0.00229133735196052

Step nr. 1171, h = 0.00229036663945299

Step nr. 1172, h = 0.0022894027008602

Step nr. 1173, h = 0.00228844549560664

Step nr. 1174, h = 0.00228749498355697

Step nr. 1175, h = 0.00228655112501077

Step nr. 1176, h = 0.0022856138806972

Step nr. 1177, h = 0.00228468321176984

Step nr. 1178, h = 0.00228375907980132

Step nr. 1179, h = 0.00228284144677869

Step nr. 1180, h = 0.00228193027509803

Step nr. 1181, h = 0.00228102552755965

Step nr. 1182, h = 0.00228012716736358

Step nr. 1183, h = 0.00227923515810449

Step nr. 1184, h = 0.00227834946376709

Step nr. 1185, h = 0.00227747004872157

Step nr. 1186, h = 0.00227659687771907

Step nr. 1187, h = 0.00227572991588723

Step nr. 1188, h = 0.00227486912872579

Step nr. 1189, h = 0.00227401448210225

Step nr. 1190, h = 0.00227316594224759

Step nr. 1191, h = 0.00227232347575219

Step nr. 1192, h = 0.00227148704956155

Step nr. 1193, h = 0.00227065663097234

Step nr. 1194, h = 0.00226983218762839

Step nr. 1195, h = 0.00226901368751664

Step nr. 1196, h = 0.00226820109896343

Step nr. 1197, h = 0.00226739439063049

Step nr. 1198, h = 0.00226659353151129

Step nr. 1199, h = 0.00226579849092737

Step nr. 1200, h = 0.00226500923852454

Step nr. 1201, h = 0.00226422574426932

Step nr. 1202, h = 0.0022634479784456

Step nr. 1203, h = 0.00226267591165085

Step nr. 1204, h = 0.00226190951479282

Step nr. 1205, h = 0.00226114875908616

Step nr. 1206, h = 0.00226039361604907

Step nr. 1207, h = 0.0022596440575

Step nr. 1208, h = 0.00225890005555435

Step nr. 1209, h = 0.00225816158262141

Step nr. 1210, h = 0.00225742861140114

Step nr. 1211, h = 0.00225670111488102

Step nr. 1212, h = 0.00225597906633303

Step nr. 1213, h = 0.00225526243931072

Step nr. 1214, h = 0.00225455120764617

Step nr. 1215, h = 0.00225384534544698

Step nr. 1216, h = 0.00225314482709362

Step nr. 1217, h = 0.00225244962723636

Step nr. 1218, h = 0.00225175972079259

Step nr. 1219, h = 0.00225107508294407

Step nr. 1220, h = 0.00225039568913417

Step nr. 1221, h = 0.00224972151506524

Step nr. 1222, h = 0.00224905253669589

Step nr. 1223, h = 0.00224838873023849

Step nr. 1224, h = 0.00224773007215649

Step nr. 1225, h = 0.00224707653916213

Step nr. 1226, h = 0.00224642810821356

Step nr. 1227, h = 0.00224578475651281

Step nr. 1228, h = 0.00224514646150309

Step nr. 1229, h = 0.0022445132008665

Step nr. 1230, h = 0.00224388495252166

Step nr. 1231, h = 0.00224326169462144

Step nr. 1232, h = 0.00224264340555065

Step nr. 1233, h = 0.00224203006392376

Step nr. 1234, h = 0.00224142164858273

Step nr. 1235, h = 0.00224081813859481

Step nr. 1236, h = 0.00224021951325032

Step nr. 1237, h = 0.00223962575206067

Step nr. 1238, h = 0.00223903683475614

Step nr. 1239, h = 0.0022384527412839

Step nr. 1240, h = 0.00223787345180582

Step nr. 1241, h = 0.00223729894669675

Step nr. 1242, h = 0.00223672920654222

Step nr. 1243, h = 0.0022361642121367

Step nr. 1244, h = 0.00223560394448165

Step nr. 1245, h = 0.00223504838478357

Step nr. 1246, h = 0.00223449751445216

Step nr. 1247, h = 0.0022339513150985

Step nr. 1248, h = 0.00223340976853318

Step nr. 1249, h = 0.00223287285676451

Step nr. 1250, h = 0.00223234056199695

Step nr. 1251, h = 0.00223181286662901

Step nr. 1252, h = 0.00223128975325192

Step nr. 1253, h = 0.00223077120464768

Step nr. 1254, h = 0.00223025720378741

Step nr. 1255, h = 0.00222974773382992

Step nr. 1256, h = 0.00222924277811978

Step nr. 1257, h = 0.00222874232018603

Step nr. 1258, h = 0.00222824634374045

Step nr. 1259, h = 0.0022277548326759

Step nr. 1260, h = 0.00222726777106507

Step nr. 1261, h = 0.0022267851431587

Step nr. 1262, h = 0.0022263069333843

Step nr. 1263, h = 0.00222583312634458

Step nr. 1264, h = 0.00222536370681599

Step nr. 1265, h = 0.00222489865974736

Step nr. 1266, h = 0.00222443797025843

Step nr. 1267, h = 0.00222398162363854

Step nr. 1268, h = 0.0022235296053453

Step nr. 1269, h = 0.00222308190100304

Step nr. 1270, h = 0.00222263849640172

Step nr. 1271, h = 0.00222219937749551

Step nr. 1272, h = 0.00222176453040155

Step nr. 1273, h = 0.00222133394139861

Step nr. 1274, h = 0.00222090759692596

Step nr. 1275, h = 0.00222048548358194

Step nr. 1276, h = 0.00222006758812298

Step nr. 1277, h = 0.00221965389746226

Step nr. 1278, h = 0.00221924439866854

Step nr. 1279, h = 0.00221883907896508

Step nr. 1280, h = 0.00221843792572838

Step nr. 1281, h = 0.00221804092648713

Step nr. 1282, h = 0.0022176480689211

Step nr. 1283, h = 0.00221725934086003

Step nr. 1284, h = 0.00221687473028252

Step nr. 1285, h = 0.00221649422531494

Step nr. 1286, h = 0.00221611781423053

Step nr. 1287, h = 0.0022157454854482

Step nr. 1288, h = 0.00221537722753163

Step nr. 1289, h = 0.00221501302918819

Step nr. 1290, h = 0.00221465287926798

Step nr. 1291, h = 0.00221429676676288

Step nr. 1292, h = 0.00221394468080559

Step nr. 1293, h = 0.00221359661066862

Step nr. 1294, h = 0.00221325254576346

Step nr. 1295, h = 0.00221291247563961

Step nr. 1296, h = 0.00221257638998368

Step nr. 1297, h = 0.00221224427861852

Step nr. 1298, h = 0.00221191613150234

Step nr. 1299, h = 0.00221159193872781

Step nr. 1300, h = 0.00221127169052129

Step nr. 1301, h = 0.00221095537724198

Step nr. 1302, h = 0.00221064298938102

Step nr. 1303, h = 0.0022103345175608

Step nr. 1304, h = 0.00221002995253407

Step nr. 1305, h = 0.00220972928518321

Step nr. 1306, h = 0.00220943250651946

Step nr. 1307, h = 0.00220913960768213

Step nr. 1308, h = 0.00220885057993788

Step nr. 1309, h = 0.00220856541468

Step nr. 1310, h = 0.00220828410342764

Step nr. 1311, h = 0.00220800663782516

Step nr. 1312, h = 0.00220773300964143

Step nr. 1313, h = 0.00220746321076906

Step nr. 1314, h = 0.00220719723322386

Step nr. 1315, h = 0.00220693506914406

Step nr. 1316, h = 0.00220667671078971

Step nr. 1317, h = 0.00220642215054207

